iteration,mechanism,missing_rate,method,outcome,bias,mse,covered,n_effective
50,MCAR,0.3,Complete Case,1,0.12356514649400058,0.015268345428083823,1,15
51,MCAR,0.3,Complete Case,0,-0.26378401816301567,0.06958200823822618,1,13
51,MCAR,0.3,Complete Case,1,-0.17543441875243126,0.030777235283003405,1,13
52,MCAR,0.3,Complete Case,0,0.20205961251007099,0.04082808700772003,1,14
52,MCAR,0.3,Complete Case,1,0.11374715957630116,0.01293841631167652,1,14
53,MCAR,0.3,Complete Case,0,0.13385091222661116,0.017916066703895967,1,15
53,MCAR,0.3,Complete Case,1,0.06960432980578585,0.004844762727712608,1,15
54,MCAR,0.3,Complete Case,0,0.1048864627564492,0.011001170069560005,1,15
54,MCAR,0.3,Complete Case,1,0.11442636737975964,0.01309339355172772,1,15
55,MCAR,0.3,Complete Case,0,0.004220881735201076,1.781584262255405e-05,1,14
55,MCAR,0.3,Complete Case,1,0.021910060059477432,0.00048005073180990823,1,14
56,MCAR,0.3,Complete Case,0,-0.020854739480002993,0.0004349201587787955,1,14
56,MCAR,0.3,Complete Case,1,0.09717764079769492,0.00944349387100582,1,14
57,MCAR,0.3,Complete Case,0,-0.08679057399793538,0.007532603734891097,1,14
57,MCAR,0.3,Complete Case,1,-0.012451097489048935,0.0001550298286818007,1,14
58,MCAR,0.3,Complete Case,0,-0.1712510477663144,0.029326921361060493,1,15
58,MCAR,0.3,Complete Case,1,0.05315486750773035,0.002825439939764368,1,15
59,MCAR,0.3,Complete Case,0,0.07466333917293211,0.005574614216452298,1,14
59,MCAR,0.3,Complete Case,1,-0.025361915007738378,0.0006432267328597452,1,14
60,MCAR,0.3,Complete Case,0,-0.01943293541708957,0.00037763897892477416,1,15
60,MCAR,0.3,Complete Case,1,-0.20159269686722087,0.0406396154301992,0,15
61,MCAR,0.3,Complete Case,0,0.007260983982344427,5.272188839186233e-05,1,14
61,MCAR,0.3,Complete Case,1,0.13214821443458363,0.0174631505782487,1,14
62,MCAR,0.3,Complete Case,0,0.020472412029865716,0.0004191196543205905,1,14
62,MCAR,0.3,Complete Case,1,-0.08251962247384984,0.006809488093226703,1,14
63,MCAR,0.3,Complete Case,0,0.14897739937277354,0.02219426552387487,1,12
63,MCAR,0.3,Complete Case,1,-0.06363806523410726,0.004049803346740491,1,12
64,MCAR,0.3,Complete Case,0,-0.08708885394573657,0.007584468481581836,1,14
